s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
30606,32.46,76.57,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30607,32.46,76.56,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30608,32.46,76.61,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30609,32.46,76.63,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30610,32.46,76.65,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30611,32.46,76.65,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30612,32.46,76.64,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30613,32.46,76.64,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30614,32.46,76.64,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Debris,Slide,0,,,519
30615,32.464,77.1389,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Slide,0,,,519
30616,32.4655,77.137,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Slide,0,,,519
30617,32.4655,77.137,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Slide,0,,,519
30618,32.4655,77.137,,Himachal Pradesh,Himachal Pradesh,Lahul & Spiti,Lahul,Debris,Slide,0,,,519
30619,32.47,75.92,Kumlari,Himachal Pradesh,Himachal Pradesh,Chamba,Kakira,Debris,Slide,2018,,2018.0,519
30620,32.47,75.93,,Himachal Pradesh,Himachal Pradesh,Chamba,Kakira,Debris,Slide,2017,,2017.0,519
30621,32.47,76.19,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30622,32.47,76.2,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30623,32.47,76.22,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Debris,Slide,0,,,519
30624,32.47,76.17,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30625,32.47,76.25,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30626,32.47,76.24,,Himachal Pradesh,Himachal Pradesh,Chamba,Chamba,Debris,Slide,0,,,519
30627,32.47,76.43,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
